employee_id,ad_account,aws_account,okta_account
EMP_1000,johnan_77,arn:aws:iam::112233445566:user/johnanderson,johnanderson@enterprise.com
EMP_1001,charle_50,arn:aws:iam::112233445566:user/charlesmiller,charlesmiller@enterprise.com
EMP_1002,michae_99,arn:aws:iam::112233445566:user/michaeldavis,michaeldavis@enterprise.com
EMP_1003,charle_63,arn:aws:iam::112233445566:user/charlesmartinez,charlesmartinez@enterprise.com
EMP_1004,charle_62,arn:aws:iam::112233445566:user/charlesmartinez,charlesmartinez@enterprise.com
EMP_1005,emilyb_29,arn:aws:iam::112233445566:user/emilybrown,emilybrown@enterprise.com
EMP_1006,willia_ad,arn:aws:iam::112233445566:user/williammartin,williammartin@enterprise.com
EMP_1007,lindat_58,arn:aws:iam::112233445566:user/lindataylor,lindataylor@enterprise.com
EMP_1008,joseph_33,arn:aws:iam::112233445566:user/josephrodriguez,josephrodriguez@enterprise.com
EMP_1009,davidr_78,arn:aws:iam::112233445566:user/davidrodriguez,davidrodriguez@enterprise.com
EMP_1010,joseph_70,arn:aws:iam::112233445566:user/josephmoore,josephmoore@enterprise.com
EMP_1011,davidm_40,arn:aws:iam::112233445566:user/davidmoore,davidmoore@enterprise.com
EMP_1012,davidw_38,arn:aws:iam::112233445566:user/davidwilson,davidwilson@enterprise.com
EMP_1013,janelo_48,arn:aws:iam::112233445566:user/janelopez,janelopez@enterprise.com
EMP_1014,richar_28,arn:aws:iam::112233445566:user/richardmoore,richardmoore@enterprise.com
EMP_1015,davidd_69,arn:aws:iam::112233445566:user/daviddavis,daviddavis@enterprise.com
EMP_1016,johnga_17,arn:aws:iam::112233445566:user/johngarcia,johngarcia@enterprise.com
EMP_1017,robert_81,arn:aws:iam::112233445566:user/robertrodriguez,robertrodriguez@enterprise.com
EMP_1018,janeth_62,arn:aws:iam::112233445566:user/janethomas,janethomas@enterprise.com
EMP_1019,willia_63,arn:aws:iam::112233445566:user/williamdavis,williamdavis@enterprise.com
EMP_1020,barbar_81,arn:aws:iam::112233445566:user/barbararodriguez,barbararodriguez@enterprise.com
EMP_1021,margar_77,arn:aws:iam::112233445566:user/margaretgonzalez,margaretgonzalez@enterprise.com
EMP_1022,emilyr_27,arn:aws:iam::112233445566:user/emilyrodriguez,emilyrodriguez@enterprise.com
EMP_1023,christ_59,arn:aws:iam::112233445566:user/christopherwilson,christopherwilson@enterprise.com
EMP_1024,christ_41,arn:aws:iam::112233445566:user/christophertaylor,christophertaylor@enterprise.com
